Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
ALLIANCES,02/04/2026,ALLIANCES,ADI,438.0,433.0,440.0,418.0,40426,17549393.9,193,9560028604.0
ALLIANCES,01/04/2026,ALLIANCES,ADI,422.0,434.0,435.0,417.0,44198,19081136.0,193,9582107192.0
ALLIANCES,31/03/2026,ALLIANCES,ADI,422.0,413.9,422.0,405.0,20218,8288153.9,134,9138327573.2
ALLIANCES,30/03/2026,ALLIANCES,ADI,428.5,419.0,428.5,413.0,926,387520.4,40,9250928372.0
ALLIANCES,27/03/2026,ALLIANCES,ADI,429.0,410.0,436.9,410.0,13739,5656496.6,114,9052221080.0
ALLIANCES,26/03/2026,ALLIANCES,ADI,424.0,429.9,430.0,418.0,30484,13045739.1,180,9491584981.2
ALLIANCES,25/03/2026,ALLIANCES,ADI,410.0,423.0,423.0,408.95,34228,14292501.3,180,9339242724.0
ALLIANCES,24/03/2026,ALLIANCES,ADI,410.0,406.0,414.0,405.0,4983,2025941.9,92,8963906728.0
AKDITAL,09/04/2026,AKDITAL,AKT,1175.0,1175.0,1180.0,1165.0,24262,28435789.0,260,16637068225.0
AKDITAL,08/04/2026,AKDITAL,AKT,1161.0,1165.0,1169.0,1150.0,16897,19634812.0,384,16495476155.0
AKDITAL,07/04/2026,AKDITAL,AKT,1133.0,1115.0,1133.0,1110.0,5748,6423985.0,167,15787515805.0
AKDITAL,06/04/2026,AKDITAL,AKT,1121.0,1118.0,1135.0,1114.0,6483,7286289.0,110,15829993426.0
AKDITAL,03/04/2026,AKDITAL,AKT,1135.0,1110.0,1145.0,1110.0,36372,41127440.0,193,15716719770.0
AKDITAL,02/04/2026,AKDITAL,AKT,1130.0,1142.0,1148.0,1130.0,8759,9942909.0,89,16169814394.0
AKDITAL,01/04/2026,AKDITAL,AKT,1150.0,1148.0,1153.0,1131.0,11333,12994677.0,201,16254769636.0
